radial_position,monomer_concentration
0.001268280757311752,99.91488935673327
0.02165056074185641,99.91492925347707
0.042032840726401066,99.91503984242345
0.06241512071094572,99.91522112371325
0.08279740069549038,99.91547309757743
0.10317968068003504,99.91579576433679
0.1235619606645797,99.91618912440232
0.14394424064912434,99.91665317827494
0.164326520633669,99.91718792654567
0.18470880061821368,99.9177933698955
0.20509108060275832,99.91846950909556
0.22547336058730297,99.91921634500687
0.24585564057184764,99.92003387858061
0.26623792055639234,99.92092211085796
0.28662020054093695,99.92188104297009
0.3070024805254816,99.92291067613824
0.3273847605100263,99.92401101167376
0.34776704049457097,99.92518205097791
0.36814932047911564,99.92642379554216
0.38853160046366025,99.9277362469479
0.4089138804482049,99.9291194068666
0.4292961604327496,99.93057327705985
0.4496784404172942,99.93209785937921
0.4700607204018389,99.93369315576633
0.49044300038638355,99.93535916825299
0.5108252803709282,99.93709589896088
0.5312075603554729,99.93890335010192
0.5515898403400176,99.94078152397803
0.5719721203245621,99.94273042298121
0.5923544003091068,99.94475004959355
0.6127366802936515,99.94684040638718
0.6331189602781961,99.94900149602438
0.6535012402627408,99.95123332125749
0.6738835202472855,99.95353588492895
0.6942658002318302,99.95590918997131
0.7146480802163748,99.9583532394072
0.7350303602009195,99.96086803634937
0.7554126401854641,99.96345358400069
0.7757949201700087,99.96610988565412
0.7961772001545534,99.96883694469281
0.8165594801390981,99.97163476458998
0.8369417601236427,99.97450334890897
0.8573240401081874,99.97744270130333
0.8777063200927321,99.98045282551668
0.8980886000772766,99.98353372538284
0.9184708800618213,99.98668540482576
0.938853160046366,99.98990786785954
0.9592354400309107,99.99320111858852
0.9796177200154553,99.99656516120713
1.0,100.0
