time_s,rate,efficiency,radius,thiele,mass
0.0,0.0,0.998959881014325,2.500000000000002e-07,0.041666666666666664,0.0
1.0000666711114075,36372.46739302151,0.9969868738138967,4.261730192439927e-07,0.04166041671876126,5.951827908186027e-13
2.000133342222815,36375.027026823285,0.9990981115132169,5.182403155663085e-07,0.0319032913449862,1.190407466340081e-12
3.000200013334222,36367.51502346837,0.9993592541991133,5.857328515618722e-07,0.02892662193711255,1.785509218797993e-12
4.00026668444563,36358.41992573291,0.9994694784699185,6.404595655365919e-07,0.027204977886781584,2.3804621431438482e-12
5.0003333555570375,36348.704187891526,0.9995329666079485,6.871440937336982e-07,0.026012803591962442,2.9752560835005003e-12
6.000400026668444,36338.66677297288,0.999575383294487,7.282131629672671e-07,0.02510984099303946,3.56988577608811e-12
7.000466697779852,36328.436576766864,0.9996062941841993,7.650987927335231e-07,0.024387846934309367,4.164348066319901e-12
8.00053336889126,36318.07998288256,0.9996301385491355,7.987251727416765e-07,0.023789144053262528,4.758640885880791e-12
9.000600040002666,36307.63530056879,0.9996492825520844,8.297275559211253e-07,0.023279504919084235,5.352762793331112e-12
10.000666711114075,36297.126472072596,0.9996651144844247,8.585635702722693e-07,0.022837024650161197,5.946712739011422e-12
11.000733382225482,36286.569372651364,0.9996785085533066,8.855750928694377e-07,0.022446875638422056,6.5404899330378886e-12
12.000800053336889,36275.975021457736,0.9996900459398228,9.110250514025135e-07,0.02209857571914233,7.134093765839168e-12
13.000866724448297,36265.35135107404,0.9997001299846575,9.351205124761128e-07,0.02178445364228983,7.727523757649145e-12
14.000933395559704,36254.7042448314,0.9997090505435222,9.580278062320183e-07,0.021498734262523113,8.320779524973905e-12
15.001000066671113,36244.03817568267,0.9997170220186997,9.79882794834934e-07,0.0212369662899663,8.913860757512933e-12
16.00106673778252,36233.35661641659,0.9997242069005964,1.000798057063594e-06,0.020995649799341647,9.506767201792875e-12
17.001133408893928,36222.66231214744,0.9997307309135736,1.0208680460837213e-06,0.020771985515443285,1.00994986492602e-11
18.001200080005333,36211.957466850734,0.9997366930888844,1.0401728753687331e-06,0.020563701174209616,1.0692054927426249e-11
19.00126675111674,36201.24387432537,0.9997421726564361,1.0587811520883425e-06,0.02036892826054747,1.1284435893155281e-11
20.00133342222815,36190.52301213822,0.9997472338777144,1.0767521341726366e-06,0.020186112602638022,1.1876641427489803e-11
21.001400093339555,36179.79611052523,0.99975192950866,1.0941373975957404e-06,0.020013948281724956,1.2468671431603352e-11
22.001466764450964,36169.06420357137,0.9997563033315311,1.1109821426859021e-06,0.01985132794775075,1.3060525823590767e-11
23.001533435562372,36158.32816802348,0.9997603920342175,1.127326230175142e-06,0.019697304902193458,1.3652204535893582e-11
24.001600106673777,36147.58875304421,0.9997642266309197,1.1432050120158242e-06,0.01955106376707195,1.4243707513212294e-11
25.001666777785186,36136.846603312486,0.9997678335487118,1.158650004330496e-06,0.019411897516622954,1.4835034710796636e-11
26.001733448896594,36126.10227721029,0.9997712354680911,1.1736894375014634e-06,0.019279189290439994,1.5426186093033457e-11
27.001800120008003,36115.35626122522,0.9997744519846566,1.1883487096165177e-06,0.0191523978458986,1.6017161632270264e-11
28.001866791119408,36104.60898153793,0.999777500130155,1.2026507631437203e-06,0.0190310458129837,1.6607961307828402e-11
29.001933462230816,36093.860813392035,0.9997803947925757,1.2166164000681674e-06,0.01891471013027289,1.7198585105169533e-11
30.002000133342225,36083.11208869898,0.9997831490517084,1.2302645472875551e-06,0.018803014195344102,1.778903301518657e-11
31.00206680445363,36072.363102297284,0.9997857744549621,1.2436124814895655e-06,0.018695621375062522,1.8379305033597025e-11
32.00213347556504,36061.61411721077,0.9997882812419842,1.2566760207856925e-06,0.01859222960365444,1.8969401160422423e-11
33.002200146676444,36050.865368896586,0.9997906785303197,1.269469688886502e-06,0.018492566857762686,1.9559321399537196e-11
34.002266817787856,36040.11706892595,0.9997929744698565,1.2820068564541988e-06,0.018396387343713343,2.0149065758277843e-11
