radial,monomer1,monomer2
0.0,99.92181347705284,49.98435755830935
0.02040816326530612,99.92184979583892,49.98436482547557
0.04081632653061224,99.92195107092856,49.984385089994525
0.061224489795918366,99.92211730244023,49.984418351875675
0.08163265306122448,99.92234849056848,49.98446461113461
0.1020408163265306,99.9226446355838,49.98452386779297
0.12244897959183673,99.92300573783271,49.98459612187849
0.14285714285714285,99.9234317977378,49.98468137342499
0.16326530612244897,99.92392281579757,49.984779622472374
0.18367346938775508,99.92447879258658,49.98489086906661
0.2040816326530612,99.92509972875538,49.9850151132598
0.22448979591836732,99.92578562503061,49.985152355110074
0.24489795918367346,99.92653648221479,49.98530259468168
0.26530612244897955,99.92735230118656,49.98546583204492
0.2857142857142857,99.92823308290053,49.985642067276224
0.3061224489795918,99.92917882838734,49.98583130045805
0.32653061224489793,99.93018953875361,49.98603353167899
0.3469387755102041,99.93126521518205,49.9862487610337
0.36734693877551017,99.93240585893133,49.9864769886229
0.3877551020408163,99.93361147133618,49.98671821455342
0.4081632653061224,99.93488205380731,49.98697243893818
0.42857142857142855,99.93621760783152,49.98723966189616
0.44897959183673464,99.93761813497157,49.98751988355243
0.4693877551020408,99.93908363686631,49.98781310403815
0.4897959183673469,99.9406141152306,49.98811932349059
0.5102040816326531,99.94220957185529,49.988438542053025
0.5306122448979591,99.94387000860736,49.988770759874924
0.5510204081632653,99.94559542742977,49.98911597711174
0.5714285714285714,99.9473858303415,49.989474193925076
0.5918367346938775,99.94924121943764,49.989845410482594
0.6122448979591836,99.95116159688929,49.990229626958055
0.6326530612244897,99.95314696494361,49.99062684353127
0.6530612244897959,99.95519732592379,49.991037060388166
0.673469387755102,99.95731268222916,49.99146027772075
0.6938775510204082,99.959493036335,49.991896495727126
0.7142857142857142,99.96173839079272,49.99234571461145
0.7346938775510203,99.96404874822981,49.99280793458401
0.7551020408163265,99.96642411134981,49.993283155861114
0.7755102040816326,99.9688644829323,49.99377137866522
0.7959183673469387,99.971369865833,49.99427260322486
0.8163265306122448,99.9739402629837,49.99478682977461
0.836734693877551,99.97657567739226,49.99531405855517
0.8571428571428571,99.97927611214261,49.995854289813295
0.8775510204081632,99.98204157039486,49.996407523801885
0.8979591836734693,99.98487205538513,49.99697376077987
0.9183673469387754,99.98776757042567,49.99755300101229
0.9387755102040816,99.99072811890491,49.99814524477026
0.9591836734693877,99.99375370428726,49.998750492330984
0.9795918367346939,99.99684433011338,49.99936874397778
1.0,100.0,50.0
