time_s,polymerization_rate,efficiency,particle_radius_m,thiele_modulus,polymer_mass_g
0.0,0.0,0.998959881014325,2.500000000000002e-07,0.041666666666666664,0.0
1.0000666711114075,27962.494545750415,0.9973685870969052,3.981557104622046e-07,0.04166041671876126,4.575657560471909e-13
2.000133342222815,27964.92906305667,0.999051128100196,4.800358304452913e-07,0.03300669128152131,9.151713494468765e-13
3.000200013334222,27959.658589723484,0.9993129385110652,5.407326218105364e-07,0.030055675257288104,1.3726906991778692e-12
4.00026668444563,27952.97440782898,0.9994274195010003,5.90195677799096e-07,0.02831436870817607,1.8301006719454757e-12
5.0003333555570375,27945.718507725207,0.9994943482516213,6.32510963769913e-07,0.02709786081249983,2.2873919124085896e-12
6.000400026668444,27938.161741556163,0.9995394312301406,6.69805560500914e-07,0.026171815051407997,2.7445594973294642e-12
7.000466697779852,27930.4228959787,0.9995724550002412,7.033449213105304e-07,0.02542894536595092,3.201600447242086e-12
8.00053336889126,27922.563786447077,0.9995980193378371,7.339502884926998e-07,0.02481152147337286,3.65851279420089e-12
9.000600040002666,27914.620338199064,0.9996185969191814,7.621884436664379e-07,0.024285055661908472,4.115295158124837e-12
10.000666711114075,27906.61511873446,0.999635647448827,7.884689523474282e-07,0.023827369389270842,4.571946528217363e-12
11.000733382225482,27898.56315021689,0.999650094366167,8.130985325085448e-07,0.023423394374689013,5.02846613949787e-12
12.000800053336889,27890.474891734535,0.9996625538095505,8.363135379167875e-07,0.02306244733812733,5.484853398133605e-12
13.000866724448297,27882.357891444593,0.9996734546257866,8.583004109369802e-07,0.02273669146088419,5.94110783380648e-12
14.000933395559704,27874.217759085597,0.9996831057368184,8.792091203947874e-07,0.022440215495707096,6.397229067993662e-12
15.001000066671113,27866.058767011968,0.9996917361048304,8.991623074659016e-07,0.02216845581687531,6.853216792083216e-12
16.00106673778252,27857.884237153106,0.999699519548692,9.182616982609217e-07,0.02191781918403825,7.309070751821772e-12
17.001133408893928,27849.696798764537,0.9997065907530528,9.36592715695767e-07,0.021685428241565344,7.764790735979921e-12
18.001200080005333,27841.498565165308,0.999713055941535,9.542278700231248e-07,0.021468944904212334,8.220376567909665e-12
19.00126675111674,27833.29125805308,0.9997190001917747,9.712292998073782e-07,0.021266444764481373,8.675828099136095e-12
20.00133342222815,27825.076296908206,0.999724492575594,9.876507087318164e-07,0.02107632585744627,9.131145204412044e-12
21.001400093339555,27816.854864479992,0.9997295898471409,1.0035388642629882e-06,0.020897241127055825,9.586327777844325e-12
22.001466764450964,27808.627955683893,0.9997343391425814,1.0189347729923944e-06,0.02072804759550921,1.0041375729820101e-11
23.001533435562372,27800.39641463453,0.999738779989484,1.0338746136329145e-06,0.020567767529449284,1.0496288984539254e-11
24.001600106673777,27792.160963003855,0.9997429458224557,1.0483904857923854e-06,0.020415558370658338,1.0951067478010777e-11
25.001666777785186,27783.922222195128,0.9997468651473678,1.0625110169100892e-06,0.020270689168810824,1.1405711156412034e-11
26.001733448896594,27775.680730676926,0.9997505624422256,1.0762618587144493e-06,0.020132521905374474,1.1860219974731645e-11
27.001800120008003,27767.436957854803,0.9997540588650548,1.0896660967089312e-06,0.020000496543717758,1.2314593895639372e-11
28.001866791119408,27759.191315105414,0.9997573728146102,1.1027445905207758e-06,0.01987411895097546,1.2768832888536561e-11
29.001933462230816,27750.94416478783,0.9997605203791811,1.1155162587943287e-06,0.01975295105678824,1.3222936928754042e-11
30.002000133342225,27742.69582757497,0.9997635156999013,1.1279983192324025e-06,0.01963660277152161,1.367690599686999e-11
31.00206680445363,27734.44658843085,0.9997663712641273,1.140206492081422e-06,0.019524725301027876,1.4130740078125604e-11
32.00213347556504,27726.196701646808,0.9997690981496379,1.1521551736078466e-06,0.019417005579210743,1.4584439161923196e-11
33.002200146676444,27717.94639497131,0.9997717062225399,1.1638575847757624e-06,0.019313161602287,1.503800324139185e-11
34.002266817787856,27709.695873093966,0.9997742043052916,1.1753258993029617e-06,0.019212938495722736,1.54914323130101e-11
35.00233348889926,27701.445320593197,0.9997766003141316,1.1865713544687945e-06,0.01911610518055918,1.5944726376276835e-11
36.002400160010666,27693.194904417676,0.9997789013770517,1.1976043474160318e-06,0.019022451533216203,1.6397885433422824e-11
37.00246683112208,27684.944776008084,0.9997811139327782,1.2084345191900195e-06,0.01893178595400699,1.685090948915694e-11
38.00253350223348,27676.6950730982,0.9997832438143232,1.2190708283610605e-06,0.01884393327606163,1.7303798550441865e-11
39.00260017334489,27668.445921331786,0.9997852963211594,1.2295216157575202e-06,0.018758732959273872,1.7756552626296268e-11
40.0026668444563,27660.19743552016,0.9997872762809589,1.2397946615801735e-06,0.018676037524089268,1.8209171727617533e-11
41.002733515567705,27651.949720891367,0.999789188102614,1.2498972359600213e-06,0.018595711188069033,1.8661655867024952e-11
42.00280018667911,27643.70287406517,0.9997910358226055,1.259836143851647e-06,0.01851762867465826,1.911400505871886e-11
43.00286685779052,27635.456983927295,0.9997928231435583,1.2696177650147704e-06,0.01844167416881632,1.9566219318354077e-11
