label,time_s,polymerization_rate,efficiency,particle_radius_m,thiele_modulus,polymer_mass_g
kp=250,0.0,0.0,0.998959881014325,2.500000000000002e-07,0.041666666666666664,0.0
kp=250,1.0000666711114075,13981.247272875207,0.9973685870969052,3.981557104622046e-07,0.04166041671876126,2.2878287802359546e-13
kp=250,2.000133342222815,13982.464531528334,0.999051128100196,4.800358304452913e-07,0.03300669128152131,4.575856747234382e-13
kp=250,3.000200013334222,13979.829294861742,0.9993129385110652,5.407326218105364e-07,0.030055675257288104,6.863453495889346e-13
kp=250,4.00026668444563,13976.48720391449,0.9994274195010003,5.90195677799096e-07,0.02831436870817607,9.150503359727378e-13
kp=250,5.0003333555570375,13972.859253862604,0.9994943482516213,6.32510963769913e-07,0.02709786081249983,1.1436959562042948e-12
kp=250,6.000400026668444,13969.080870778082,0.9995394312301406,6.69805560500914e-07,0.026171815051407997,1.3722797486647321e-12
kp=250,7.000466697779852,13965.21144798935,0.9995724550002412,7.033449213105304e-07,0.02542894536595092,1.600800223621043e-12
kp=250,8.00053336889126,13961.281893223539,0.9995980193378371,7.339502884926998e-07,0.02481152147337286,1.829256397100445e-12
kp=250,9.000600040002666,13957.310169099532,0.9996185969191814,7.621884436664379e-07,0.024285055661908472,2.0576475790624185e-12
kp=250,10.000666711114075,13953.30755936723,0.999635647448827,7.884689523474282e-07,0.023827369389270842,2.2859732641086814e-12
kp=250,11.000733382225482,13949.281575108445,0.999650094366167,8.130985325085448e-07,0.023423394374689013,2.514233069748935e-12
kp=250,12.000800053336889,13945.237445867268,0.9996625538095505,8.363135379167875e-07,0.02306244733812733,2.7424266990668023e-12
kp=250,13.000866724448297,13941.178945722297,0.9996734546257866,8.583004109369802e-07,0.02273669146088419,2.97055391690324e-12
kp=250,14.000933395559704,13937.108879542799,0.9996831057368184,8.792091203947874e-07,0.022440215495707096,3.198614533996831e-12
kp=250,15.001000066671113,13933.029383505984,0.9996917361048304,8.991623074659016e-07,0.02216845581687531,3.426608396041608e-12
kp=250,16.00106673778252,13928.942118576553,0.999699519548692,9.182616982609217e-07,0.02191781918403825,3.654535375910886e-12
kp=250,17.001133408893928,13924.848399382268,0.9997065907530528,9.36592715695767e-07,0.021685428241565344,3.8823953679899604e-12
kp=250,18.001200080005333,13920.749282582654,0.999713055941535,9.542278700231248e-07,0.021468944904212334,4.1101882839548324e-12
