n,M_g_per_mol,weight_fraction,Mn,Mw,PDI
242,6788.1,3.3764994789793715e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
243,6816.150000000001,3.3903841320289535e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
244,6844.2,3.404268228217582e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
245,6872.25,3.4181517675619464e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
246,6900.3,3.432034750078771e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
247,6928.35,3.4459171757848074e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
248,6956.400000000001,3.4597990446967395e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
249,6984.45,3.473680356831316e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
250,7012.5,3.487561112205258e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
251,7040.55,3.5014413108352734e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
252,7068.6,3.51532095273807e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
253,7096.650000000001,3.5292000379304103e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
254,7124.7,3.543078566428975e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
255,7152.75,3.5569565382504813e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
256,7180.8,3.5708339534116648e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
257,7208.85,3.584710811929239e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
258,7236.900000000001,3.59858711381991e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
259,7264.95,3.6124628591004147e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
260,7293.0,3.6263380477874615e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
261,7321.05,3.640212679897756e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
262,7349.1,3.6540867554480324e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
263,7377.150000000001,3.6679602744549913e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
264,7405.2,3.681833236935341e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
265,7433.25,3.6957056429058153e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
266,7461.3,3.709577492383112e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
267,7489.35,3.7234487853839635e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
268,7517.400000000001,3.7373195219250504e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
269,7545.45,3.751189702023121e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
270,7573.5,3.765059325694872e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
271,7601.55,3.778928392957003e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
272,7629.6,3.7927969038262334e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
273,7657.650000000001,3.8066648583192866e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
274,7685.7,3.820532256452851e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
275,7713.75,3.834399098243648e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
276,7741.8,3.848265383708414e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
277,7769.85,3.862131112863793e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
278,7797.900000000001,3.875996285726545e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
279,7825.95,3.8898609023133646e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
280,7854.0,3.903724962640966e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
281,7882.05,3.917588466726015e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
282,7910.1,3.931451414585297e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
283,7938.150000000001,3.945313806235458e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
284,7966.2,3.959175641693195e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
285,7994.25,3.973036920975265e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
286,8022.3,3.986897644098328e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
287,8050.35,4.000757811079106e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
288,8078.400000000001,4.0146174219343155e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
289,8106.45,4.028476476680608e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
290,8134.5,4.04233497533475e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
291,8162.55,4.0561929179134325e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
292,8190.6,4.070050304433325e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
293,8218.65,4.0839071349111455e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
294,8246.7,4.097763409363615e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
295,8274.75,4.111619127807405e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
296,8302.800000000001,4.125474290259228e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
297,8330.85,4.13932889673575e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
298,8358.9,4.153182947253747e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
299,8386.95,4.167036441829862e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
300,8415.0,4.180889380480806e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
301,8443.050000000001,4.194741763223272e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
302,8471.1,4.208593590073968e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
303,8499.15,4.222444861049596e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
304,8527.2,4.23629557616682e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
305,8555.25,4.250145735442392e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
306,8583.300000000001,4.2639953388929514e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
